titulo,link,site_origem,data_coleta
"COD.191 / 44/2025Aberto para lancesIMÓVEL ÁREA 1.050,00m², Quilombo/SC.Somente online1º LeilãoAbertura10/11/2025 15:00Fechamento18/11/2025 15:002º LeilãoAbertura18/11/2025 16:00Fechamento25/11/2025 15:00",https://www.serpaleiloes.com.br/eventos/leilao/191/imovel-area-1-050-00m-quilombo-sc/lote,https://www.serpaleiloes.com.br/?tipo=leilao,2025-09-17 22:15
Suporte Leilões,https://www.suporteleiloes.com.br,https://www.serpaleiloes.com.br/?tipo=leilao,2025-09-17 22:15
Leilões,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
"ComerciaisLeilão de salas
                                corporativas, prédios, galpões entre outros imóveis
                                comerciais.",https://www.portalzuk.com.br/leilao-de-imoveis/t/todos-imoveis/comerciais,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
"RuraisConfira os leilão de
                                imóveis em áreas rurais como chácaras, sítios e
                                fazendas.",https://www.portalzuk.com.br/leilao-de-imoveis/t/todos-imoveis/rurais,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
"TerrenosLeilões
                            com áreas de construção na cidade e no campo.",https://www.portalzuk.com.br/leilao-de-imoveis/t/todos-imoveis/terrenos,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Imóveis desocupadosImóveis desocupados e disponíveis para leilão,https://www.portalzuk.com.br/leilao-de-imoveis/tl/todos-imoveis/desocupados,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Próximos LeilõesAcompanhe os Próximos Leilões.,https://www.portalzuk.com.br/leilao-de-imoveis/tl/proximos-leiloes,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões ao VivoAcompanhe todos os nosso Leilões.,https://www.portalzuk.com.br/auditorio-virtual,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Agenda de LeilõesListagem de leilões por data.,https://www.portalzuk.com.br/agenda/leiloes,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões JudiciaisImóveis originados por processo judicial.,https://www.portalzuk.com.br/leilao-de-imoveis/tl/todos-imoveis/leilao-judicial,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões ExtrajudiciaisImóveis dados como garantia para uma dívida não sanada junto à instituição financeira,https://www.portalzuk.com.br/leilao-de-imoveis/tl/todos-imoveis/leilao-extra-judicial,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões EncerradosHistórico de leilões finalizados,https://www.portalzuk.com.br/leilao-de-imoveis/tl/encerrados,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
"Como comprarEntenda as vantagens de
                                                    vender o seu imóvel por meio do leilão.",https://www.portalzuk.com.br#entenda_leiloes,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Próximos Leilões,https://www.portalzuk.com.br/leilao-de-imoveis/tl/proximos-leiloes,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões ao Vivo,https://www.portalzuk.com.br/auditorio-virtual,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões Judiciais,https://www.portalzuk.com.br/leilao-de-imoveis/tl/todos-imoveis/leilao-judicial,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões Extrajudiciais,https://www.portalzuk.com.br/leilao-de-imoveis/tl/todos-imoveis/leilao-extra-judicial,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões Encerrados,https://www.portalzuk.com.br/leilao-de-imoveis/tl/encerrados,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilão de Imóveis,https://www.portalzuk.com.br/leilao-de-imoveis,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões ao vivo - Auditório virtual,https://www.portalzuk.com.br/auditorio-virtual,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
leilões de imóveis online,https://www.portalzuk.com.br/leilao-de-imoveis,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Como Participar dos Leilões de Imóveis,https://www.portalzuk.com.br/blog/como-participar-do-leilao-de-imoveis-video-tutorial,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilão de Imóveis em Santa Catarina,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
leilão de imóveis online,https://www.portalzuk.com.br/leilao-de-imoveis,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões Bradesco,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-bradesco,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões Itaú,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões Santander,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,https://www.portalzuk.com.br/leilao-de-imoveis/u/todos-imoveis/sc,2025-09-17 22:15
Leilões,https://www.brasilsulleiloes.com.br/,https://www.brasilsulleiloes.com.br/,2025-09-17 22:15
Listas de Leilões,https://www.brasilsulleiloes.com.br/,https://www.brasilsulleiloes.com.br/,2025-09-17 22:15
LEILÕES ATUAIS,https://www.brasilsulleiloes.com.br/leiloes,https://www.brasilsulleiloes.com.br/,2025-09-17 22:15
LEILÕES ENCERRADOS,https://www.brasilsulleiloes.com.br/leiloes/encerrados,https://www.brasilsulleiloes.com.br/,2025-09-17 22:15
1º Leilão:24/09/2025 às 14:00LANCE INICIAL: VALOR DA AVALIAÇÃO JUDICIAL2º Leilão:01/10/2025 às 14:00LANCE INICIAL: 50% DA AVALIAÇÃO JUDICIAL,https://www.brasilsulleiloes.com.br/leilao/821/lotes,https://www.brasilsulleiloes.com.br/,2025-09-17 22:15
1º Leilão:19/11/2025 às 14:00LANCE INICIAL: VALOR DA AVALIAÇÃO JUDICIAL2º Leilão:26/11/2025 às 14:00LANCE INICIAL: 80% DA AVALIAÇÃO JUDICIAL,https://www.brasilsulleiloes.com.br/leilao/893/lotes,https://www.brasilsulleiloes.com.br/,2025-09-17 22:15
